id,file_size,number_of_sections,size_of_code,size_of_initialized_data,avg_section_entropy,num_imported_dlls,num_imported_functions,has_section_.rsrc,has_section_.reloc,has_dll_USER32.dll,has_dll_KERNEL32.DLL,has_dll_SHELL32.dll,has_dll_ADVAPI32.dll,has_dll_WININET.dll,has_dll_KERNEL32.dll,has_dll_GDI32.dll,has_dll_NETAPI32.dll,has_dll_PSAPI.DLL,has_dll_ntdll.dll,min_entropy,max_entropy,std_entropy,min_section_size,max_section_size,std_section_size,characteristics_271,characteristics_8462
ea438e15417e9783aa4ccc7de79a3c66,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8622948904385236,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.9286227827973907,-0.8962575203472704,0.8312882647602129,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
8b292537992701e6ecaf21b2213eaadd,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8446850680977919,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.8841111186258873,-0.8962575203472704,0.7908413610072192,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
a65a38778297734cbc88ceb91aecff00,2.172679943392962,0.3922322702763685,2.1612761455240346,-0.4849973647704693,1.5365986636070235,1.4137244689597568,1.936336761992586,0,1,1,1,0,1,0,0,1,1,0,1,1.3665081505179892,1.8692536448629704,-1.4202015867752513,1.2269438079159916,2.1612761455240346,2.1546477392331758,0,1
c738884c1337cf572e114725a112f76f,1.5892637844292956,-1.5689290811054721,1.5606948022920555,-0.5145679249764988,1.8024905865749332,1.4137244689597568,1.936336761992586,0,0,1,1,0,1,0,0,1,1,1,0,1.701143486804667,1.6736514821362367,-1.6337399800372652,5.340562162744926,1.5606948022920555,1.5064546516899757,1,0
9657cc833d772b7d86bb8ba717a3c04c,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.86264448639793,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.9295064541984853,-0.8962575203472704,0.8320960355170585,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
d3d6cf18453752da9d8db4e2f0f39d44,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8779265333142573,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.9350725260820995,-1.1133770281763602,0.8023233217766549,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
6c82816e9a59fef04f8bf0d469a21090,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8507218169543976,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.8993697904550498,-0.8962575203472704,0.8046528602374449,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
e4c436f5a2c68723fe0d411bba029f24,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8565833155726206,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.914185819444657,-0.8962575203472704,0.8181175662183018,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
8874b81f600b0a93723be682e939d7f2,-0.48086395718944547,-1.5689290811054721,-0.4772611364574627,1.8925399596208432,0.7519841253729658,0.7484423659198712,-0.2499053481215356,0,0,1,0,1,1,1,1,0,0,0,0,1.1174369899158783,0.3225344922127744,-0.98765132998011,-0.2585294868833463,-0.4772611364574627,-0.4748083087342426,1,0
84b3fcecd22e34a0d5931b64511623f2,-0.509943890346513,0.3922322702763685,-0.507415848251537,-0.6235290109530643,-1.0115560837925754,-1.2474039431997854,-0.7174036609761277,1,0,1,1,0,0,0,0,0,0,0,0,-0.9327313258408396,-0.3345062628107224,1.2182424380052703,-0.3727966634063723,-0.507415848251537,-0.5035606224350767,1,0
1afc5d3ff651366800117c79f438ca58,-0.5063088987018796,0.3922322702763685,-0.5049029556020308,-0.6232075918203901,-0.8575095413486415,-0.5821218401598999,-0.5661542068172891,1,0,1,1,1,0,0,0,0,0,0,0,-0.9165270196859168,-0.8962575203472704,0.8202500494403409,-0.3727966634063723,-0.5049029556020308,-0.5008560707810182,1,0
65214fb2c7858910a7eab540cc5201d8,-0.509943890346513,0.3922322702763685,-0.507415848251537,-0.6235290109530643,-0.9904222618196387,-1.2474039431997854,-0.7174036609761277,1,0,1,1,0,0,0,0,0,0,0,0,-0.8793118156120103,-0.3345062628107224,1.1772414875984811,-0.3727966634063723,-0.507415848251537,-0.5035606224350767,1,0
9e90babb187164eb92c52d6be307f196,1.7637433833717004,2.353393621658209,1.6184913332306978,-0.49110432829127976,1.3406679925776002,1.4137244689597568,1.867587010102205,1,1,1,1,0,1,0,0,1,1,1,0,0.7090133323453031,1.6520525082332544,-0.7941126612142302,-0.3156630751448593,1.6184913332306978,1.4632929986334955,0,1
da814144d18d9a0840e76a991b3af5cc,-0.48086395718944547,-1.5689290811054721,-0.4772611364574627,1.8925399596208432,0.77370520524149,0.7484423659198712,-0.2499053481215356,0,0,1,0,1,1,1,1,0,0,0,0,1.1524432116555257,0.3254136540139151,-1.0163368967778807,-0.2585294868833463,-0.4772611364574627,-0.4748083087342426,1,0
82c0ae89c84204d3f89d4019c4a90206,-0.4735939739001786,0.3922322702763685,-0.47223535115845033,0.6373982465279576,0.3835149590041264,-0.5821218401598999,-0.332405050389993,1,0,0,1,1,0,1,0,0,0,0,0,0.4139352419804446,-0.07265956860761073,-0.6936515384119777,-0.3156630751448593,-0.47223535115845033,-0.4707229136677187,1,0
3318200eef60f909faafbb97587248c5,-0.509943890346513,0.3922322702763685,-0.507415848251537,-0.6235290109530643,-0.9983575926136157,-1.2474039431997854,-0.7174036609761277,1,0,1,1,0,0,0,0,0,0,0,0,-0.8993697904550498,-0.3345062628107224,1.1925438941069464,-0.3727966634063723,-0.507415848251537,-0.5035606224350767,1,0
dbffba04d01019b1de204cf0aa37b1b1,2.1417825144135776,-1.5689290811054721,2.286920777999344,-0.5062110275269688,1.470668845539363,2.0790065719996424,2.1563359680418057,0,0,1,1,0,1,0,0,1,1,1,1,1.3497195926232213,1.790766649666013,-1.2109533904186927,1.2269438079159916,2.286920777999344,2.4262373779590414,1,0
f95fc5593473652bbbc419331a3ffc06,-0.509943890346513,0.3922322702763685,-0.507415848251537,-0.6235290109530643,-1.0044160498868469,-1.2474039431997854,-0.7174036609761277,1,0,1,1,0,0,0,0,0,0,0,0,-0.9146832918524791,-0.3345062628107224,1.204301951322826,-0.3727966634063723,-0.507415848251537,-0.5035606224350767,1,0
ab1b1c52f7177565e809d4ee9692c9bd,-0.48086395718944547,-1.5689290811054721,-0.4772611364574627,1.8925399596208432,0.7594694587806435,0.7484423659198712,-0.2499053481215356,0,0,1,0,1,1,1,1,0,0,0,0,1.1316269922515643,0.3225344922127744,-0.9980199755162756,-0.2585294868833463,-0.4772611364574627,-0.4748083087342426,1,0
33f1874eff4e75fb799612646c031673,-0.4754114697224953,0.3922322702763685,-0.4772611364574627,1.893504217018866,0.39952943885222425,0.0831602628799857,-0.2499053481215356,1,0,1,0,0,1,1,1,0,0,0,0,0.16248189310313987,-0.13996824516126208,-0.41486168934838996,-0.2585294868833463,-0.4772611364574627,-0.4769485177409104,1,0
